"finding_id","compromissos_da_auditoria","classificao","nome_da_constatao","constatao","descrio_do_plano_de_recomendao","status_da_constatao","creation_date","data_acordada_inicial","data_acordada__vencimento","data_acordada_aprovada_atualmente","end_date","proprietrio_da_resposta__descoberta","tipo_de_constatao","estado_del_trabajo","negcio_associado","proprietrio_da_constatao","progresso_validado","resposta","associated_main_risk_category","root_cause_analysis","root_cause_comments","organization_of_finding_response_owner","pasta_de_constatao","id_do_trabalho","partition_0","partition_1","partition_2"
"FND-5561","BR.Gestão de transações críticas SAP","Baixo"," Inexistência de procedimento especifico para gestão das transações criticas","A Neoenergia possui um acervo de procedimentos e normativos em seu sistema SGI, a fim de garantir que todos os seus colaboradores tenham o conhecimento e consigam acessar informações atuais da gestão do negócio, exercendo as melhores práticas estabelecidas.
 O procedimento NEO-PRO-GOV-007 – Controles Internos tem como objetivo estabelecer critérios, responsabilidade e boas práticas de controles internos. Contudo, este normativo não há informações sobre atividades do processo de Gestões de Transações Críticas.
 Em contrapartida, vale salientar que estão produzindo um documento especifico para gerenciar o referido o processo; documento no qual já foi validado pela superintendência. A sua publicação está prevista para Fevereiro de 2023","Publicar Metodologia sobre o processo de Gerenciamento de Transações Criticas no SGI","Implementado","2023-05-16 00:00:00.000","2023-02-28 00:00:00.000","2023-12-31 00:00:00.000","2023-12-31 00:00:00.000","2023-12-19 00:00:00.000","CUNHA MENDONCA LEAL, BEATRIZ U355153","Deficiency","Trabalho finalizado","Corporate","VERNECH DE MATOS JUNIOR, NICKSON U352727","100%","Corrigir o risco","5. Technological and Comprehensive Security",,,"DEP CONTROLES INTERNOS NÃO FINANCEIROS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ/SUP CORP DE CONTROLES INTERNOS]",,"AUD-1147404","2026","2","6"
"FND-5471","BR.Recuperação de Perdas","Baixo"," NCSR (2B)- REC3: Divergência na mensuração das ações do Plano de Perdas não Técnicas.","Solicitamos a documentação suporte da mensuração das 23 ações constantes no Plano de Perdas não Técnicas, referente ao período de janeiro a abril/ 2022 e através da sua análise identificamos divergências entre a mensuração do realizado divulgado no Dashboard e a realizada pela Auditoria. Das 23 ações do Plano, 03 ações (13%), apresentaram divergências.
 05 ações que compõem o indicador Energia Rec./Pré-Faturada, 03 ações (60%), apresentaram divergências entre o divulgado no Dashboard e o apurado pela Auditoria:
 Exceções identificadas (Indicador: Energia Rec./Pré-Faturada):
 Ação 1: Inspeção Grupo B, Divulgado Dashboard (Até 04/2022): 761, Apuração Auditoria (Até 04/2022): 574, Diferença: 187.
  Ação 2: Fiscalização de IP, Divulgado Dashboard (Até 04/2022): 122, Apuração Auditoria (Até 04/2022): 0, Diferença: 122.
  Ação 3: Levantamento de IP, Divulgado Dashboard (Até 04/2022): -13, Apuração Auditoria (Até 04/2022): 73, Diferença: -87.
 De acordo com informações da Unidade de Recuperação de Energia, as divergências ocorreram devido a erro no preenchimento manual da planilha enviada com o resultado da mensuração das ações, importante informar que foram enviadas 2 versões distintas desse arquivo e não nos foi enviado o Dashboard oficial. Em paralelo, identificamos que a mensuração das ações não é automatizada, os dados são inseridos manualmente, gerando ausência de rastreabilidade do processo, bem como a geração de equívocos em seu preenchimento.","Avaliar a necessidade de automatização do preenchimento do Dashboard referente ao Plano de Ação de Perdas não Técnicas com base nos relatórios de mensuração de execução das ações dentro do período, de forma a evitar preenchimentos manuais e manter a guarda dos relatórios utilizados mensalmente para mensuração.","Implementado","2023-05-16 00:00:00.000","2022-11-21 00:00:00.000","2022-11-21 00:00:00.000","2022-11-21 00:00:00.000","2022-11-22 00:00:00.000","MIKEIAS DELMIRO DE GOIS, GILMAR U464012","Deficiency","Trabalho finalizado","Networks","SILVA FERNANDES, REUSIMAR U461875","100%","Corrigir o risco",,,,"DEP OPERAÇÃO LITORAL COSERN [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC OPERAÇÕES/PRESIDÊNCIA COSERN/SUP OPERAÇÕES COSERN]",,"AUD-1147536","2026","2","6"
"FND-6609","BR.Reclamação de Clientes","Baixo"," NEKT (1.10) - REC1: Envio de informações de 2º nível para a ANEEL em desacordo com os registros no sistema comercial ","Conforme Art. 275 do PRODIST Módulo 8, a distribuidora deve encaminhar à ANEEL relatório mensal de sua Ouvidoria contendo a quantidade de manifestações registradas e encerradas no mês.
 Neste sentido, confrontamos as informações enviadas para a ANEEL com o relatório de reclamações recebidas, emitido através do sistema comercial, referentes período de no período de julho a dezembro/2022, e identificamos uma diferença de -91% em outubro/22.
 De acordo com informações da Ouvidoria, a divergência ocorreu devido às “Reclamações Tratadas” terem sido reportadas no campo de “Reclamações Procedentes” .
 Tal situação deixa a distribuidora passível de autuações, bem como pode gerar erros de mensuração nos índices calculados pelo órgão regulador.","NEKT: Em conjunto com o Departamento de Regulação Técnica e Comercial, avaliar os impactos da retificação das informações junto a ANEEL e proceder conforme orientado pelo departamento","Implementado","2023-07-19 00:00:00.000","2023-09-29 00:00:00.000","2023-09-29 00:00:00.000","2023-09-29 00:00:00.000","2023-06-10 00:00:00.000","ALMEIDA, LIDIANE ZULIAN U457945","Deficiency","Trabalho finalizado","Networks","SILVA FERNANDES, REUSIMAR U461875","100%","Corrigir o risco",,,,"DEP GESTÃO DA RECEITA ELEKTRO [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC OPERAÇÕES/PRESIDÊNCIA ELEKTRO/SUP RELACIONAMENTO COM CLIENTES ELEKTRO]",,"AUD-1147534","2026","2","6"
"FND-15953","BR.Construção de Redes","Médio"," REC1: Ordens de variação sem relatório detalhado com descrição do serviço prestado","Os contratos de construção vigentes preveem que ordens de variação para ajustes de escopo devem ser formalizadas por escrito, acompanhadas de relatório detalhado das modificações, ou requerimento com prazo de 15 dias para manifestação da contratada sobre os preços.
 Na análise dos boletins de medição de 19 contratos ativos, foram identificadas ordens de variação em 12 deles, totalizando R$ 56 milhões. Embora previstas contratualmente, 8 destas ordens (R$ 47 Milhões) não apresentaram o detalhamento exigido. Em alguns casos com percentuais relevantes em comparação ao montante contratado e com descrições genéricas dos serviços realizados.
 A ausência de documentação adequada decorre da urgência em finalizar as construções, o que pode gerar riscos de litígios sobre escopo, valores e responsabilidades, além de comprometer padrões técnicos, prazos, garantias contratuais, além do CAPEX do projeto.
 Recomenda-se reforçar os controles internos para exigir a formalização completa das ordens de variação antes da liquidação financeira, incluindo relatório detalhado e cumprimento do prazo contratual, garantindo maior segurança jurídica e técnica.","1.1.A - Formalizar todas as ordens de variações em aberto da seleção realizada (Guanabara), com relatório detalhado das modificações e preços, afim de cumprir o   estabelecido nos contratos, antes de seu encerramento.","Em andamento","2025-12-23 00:00:00.000","2026-04-30 00:00:00.000","2026-04-30 00:00:00.000","2026-04-30 00:00:00.000",,"CLAUDIO RAMIREZ NUNES, LUIZ U346491","Deficiency","Trabalho finalizado","Networks","LISI, THIAGO CESAR U454255","0%","Corrigir o risco","4. Operational:4.3. Project development and construction","Supervision and Control","As ordens de variação ocorreram devido a complexidade dos projetos e a neceddidade imediata de entrega dos projetos e dependência do fornecedor, para que não paralise a obra.",,"TRANSMISSORAS","AUD-1794369","2026","2","6"
"FND-15980","BR.Gestão de Energia","Baixo"," REC1: Seleção de submercados diferentes do local de entrega da energia","No período de janeiro a outubro/2025 foram efetivadas 2.108 propostas de venda de energia com suprimento entre 2025 e 2041. Com o objetivo de garantir a aplicação correta da diretriz de  preços, comparamos o que foi emitido e divulgado ao comercial com os registros no sistema, e Identificamos:
•03 propostas com submercado divergente do local de entrega de energia, impactando em R$ 425.508 a menor na venda.
•04 propostas em que a diretriz de preço utilizada é anterior a vigente no período, impactando em R$ 1.657  a maior na venda.
 
(i) falta de bloqueio ou alerta sistêmica para impedir a seleção de submercado diferente de onde se encontra a unidade consumidora","Criar bloqueio ou alerta sistêmico no SalesForce, impedindo a seleção de submercado diferente da unidade consumidora.","Em andamento","2025-12-24 00:00:00.000","2026-03-31 00:00:00.000","2026-03-31 00:00:00.000","2026-03-31 00:00:00.000",,"SOARES DE CARVALHO, RAFAEL U618052","Deficiency","Trabalho finalizado","Liberalized","NASCIMENTO GARBUIO, DAVID U337343","0%","Corrigir o risco","3. Market and Business:3.1. Energy prices","Errors of Judgment","O erro foi gerado pelo julgamento do colaborador que realizou a seleção do submercado diferente do local de entrega de energia, considerando que o estado do Maranhão é classificado como Norte para a CCEE. O colaborador utilizou a região padrão do Brasil, o qual é Nordeste. ","SUP PLANEJAMENTO E ESTRATEGIA DE CANAIS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC COMERCIAL/DIRET VENDAS E ESTRATEGIA COMERCIAL]","NC","AUD-1794383","2026","2","6"
"FND-5307","BR.Faturamento - Renda não Faturada","Baixo","(REC): CORP (1D) – Ausência de padronização no cálculo da RNF entre as distribuidoras","O cálculo da RNF está em processo de mudanças desde 2021 com o objetivo de  uniformização entre as distribuidoras.
 Após efetuar o recálculo da RNF, do mês de dezembro/2021, verificamos diferenças no método de cálculo entre as cinco distribuidoras, uma vez que:
Nas empresas Neoenergia Cosern, Coelba, Pernambuco e Brasília utiliza-se uma tarifa média por classe de consumo, enquanto na Neoenergia Elektro é utilizada uma tarifa média geral para todas as classes. Esta tarifa é calculada com base na RNF nas distribuidoras do nordeste, porém na Neoenergia Brasília e Elektro utiliza-se a tarifa média com base no valor da receita faturada no período;
O valor da Bandeira Tarifária não é considerado no cálculo da RNF da Neoenergia Cosern, Coelba, Pernambuco e Elektro, sendo mensurada e contabilizada separadamente, enquanto que na Neoenergia Brasília este valor faz parte do valor total calculado;
As distribuidoras Neoenergia Cosern, Coelba, Pernambuco realizam a inclusão da demanda dos clientes enquadrados nas regras descritas no Ofício 12 da ANEEL, enquanto que a Neoenergia Elektro não realiza esta inclusão. Vale ressaltar que as regras do referido Ofício não se aplicam às regras de faturamento da Neoenergia Brasília, não havendo impacto na sua RNF.
 De acordo com informações dos departamentos envolvidos no processo, as situações supracitadas ocorreram devido às diferenças sistêmicas e tempo de maturação de uma regra única nas cinco distribuidoras do grupo. Entretanto, um projeto piloto de unificação foi testado na apuração do mês de fevereiro/22 na Neoenergia Elektro, dando início a um processo mais equivalente entre as empresas, considerando as limitações sistêmicas de cada uma.
 Vale ressaltar que o cálculo é realizado de forma manual pela Unidade de Planejamento do Cadastro e Faturamento, utilizando insumos de outros Departamentos, tais como Planejamento da Recuperação da Energia e Planejamento de Mercado.","CORP - Avaliar conjuntamente com as demais distribuidoras a possibilidade de Padronizar o modelo de cálculo da Renda não Faturada de forma a manter uma uniformidade no processo de apuração entre as empresas.","Implementado","2023-05-16 00:00:00.000","2022-10-05 00:00:00.000","2022-10-05 00:00:00.000",,"2022-05-26 00:00:00.000","DOS SANTOS PESSOA, NIVIA U465854","Deficiency","Trabalho finalizado","Networks","SILVA FERNANDES, REUSIMAR U461875","100%","Corrigir o risco",,,,"DEP OPERAÇÃO NORTE PE [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC OPERAÇÕES/PRESIDÊNCIA PERNAMBUCO/SUP OPERAÇÃO LESTE PE]",,"AUD-1147381","2026","2","6"
"FND-5320","BR.Faturamento - Renda não Faturada","Baixo","(REC): NCLB, NPE, NCSR (1D) – Ausência de padronização no cálculo da RNF entre as distribuidoras","Ausência de padronização no cálculo da RNF entre as distribuidoras
 O cálculo da RNF está em processo de mudanças desde 2021 com o objetivo de  uniformização entre as distribuidoras.
 Após efetuar o recálculo da RNF, do mês de dezembro/2021, verificamos diferenças no método de cálculo entre as cinco distribuidoras, uma vez que:
Nas empresas Neoenergia Cosern, Coelba, Pernambuco e Brasília utiliza-se uma tarifa média por classe de consumo, enquanto na Neoenergia Elektro é utilizada uma tarifa média geral para todas as classes. Esta tarifa é calculada com base na RNF nas distribuidoras do nordeste, porém na Neoenergia Brasília e Elektro utiliza-se a tarifa média com base no valor da receita faturada no período;
O valor da Bandeira Tarifária não é considerado no cálculo da RNF da Neoenergia Cosern, Coelba, Pernambuco e Elektro, sendo mensurada e contabilizada separadamente, enquanto que na Neoenergia Brasília este valor faz parte do valor total calculado;

As distribuidoras Neoenergia Cosern, Coelba, Pernambuco realizam a inclusão da demanda dos clientes enquadrados nas regras descritas no Ofício 12 da ANEEL, enquanto que a Neoenergia Elektro não realiza esta inclusão. Vale ressaltar que as regras do referido Ofício não se aplicam às regras de faturamento da Neoenergia Brasília, não havendo impacto na sua RNF.
 De acordo com informações dos departamentos envolvidos no processo, as situações supracitadas ocorreram devido às diferenças sistêmicas e tempo de maturação de uma regra única nas cinco distribuidoras do grupo. Entretanto, um projeto piloto de unificação foi testado na apuração do mês de fevereiro/22 na Neoenergia Elektro, dando início a um processo mais equivalente entre as empresas, considerando as limitações sistêmicas de cada uma.
 Vale ressaltar que o cálculo da RNF é realizado de forma manual pelo Departamento de Faturamento e Contabilidade, considerando insumos do relatório emitido pelo SAP CCS e o delta de contabilização.","NCLB, NPE, NCSR - Avaliar a automatização do processo de cálculo da Renda não Faturada mediante a especificação de requisito funcional, devidamente alinhada com a área de sustentação de TI, contendo dentre outros o detalhamento de custo, prazos e conclusão para implantação no sistema.","Implementado","2023-05-16 00:00:00.000","2023-03-31 00:00:00.000","2023-09-29 00:00:00.000","2023-09-29 00:00:00.000","2023-10-24 00:00:00.000","DOS SANTOS PESSOA, NIVIA U465854","Deficiency","Trabalho finalizado","Networks","SILVA FERNANDES, REUSIMAR U461875","100%","Corrigir o risco",,,,"DEP OPERAÇÃO NORTE PE [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC OPERAÇÕES/PRESIDÊNCIA PERNAMBUCO/SUP OPERAÇÃO LESTE PE]",,"AUD-1147381","2026","2","6"
"FND-5311","BR.Faturamento - Renda não Faturada","Médio","(REC): NELK e NDB  (1B) – Ausência de Orientação Técnica que discorra sobre a forma de cálculo da Renda não Faturada","Solicitamos a Norma que define as premissas para cálculo da RNF e verificamos a inexistência de uma Orientação Técnica que discorra sobre sua forma de cálculo e contabilização.","NELK e NDB - Elaborar Orientação Técnica que discorra sobre as premissas e forma de cálculo, bem como contabilização da Renda Não Faturada.","Implementado","2023-05-16 00:00:00.000","2022-12-07 00:00:00.000","2022-12-07 00:00:00.000","2022-12-07 00:00:00.000","2022-04-08 00:00:00.000","DOS SANTOS PESSOA, NIVIA U465854","Deficiency","Trabalho finalizado","Networks","SILVA FERNANDES, REUSIMAR U461875","100%","Corrigir o risco",,,,"DEP OPERAÇÃO NORTE PE [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC OPERAÇÕES/PRESIDÊNCIA PERNAMBUCO/SUP OPERAÇÃO LESTE PE]",,"AUD-1147381","2026","2","6"
"FND-15949","BR.Plano de Continuidade Operacional","Baixo","(REC01)  Planos de Resposta a Eventos Extremos não contemplam Logística e Equipamentos necessários para atendimento às contingências","Como premissa para este tópico, consideramos que as empresas devem prever um processo Logístico emergencial para suporte aos processos de reestabelecimento. As empresas devem prever ações para disponibilidade de materiais críticos para o restabelecimento da energia e organização de rotas logísticas para transporte rápido desses equipamentos até os locais afetados, assegurando que os recursos necessários estejam acessíveis no momento em que forem requisitados, minimizando o tempo de interrupção dos serviços.
 Nesse contexto, verificamos que no Plano da Neoenergia Coelba está definido os kits padrão de ferramentas e EPCs para garantir o trabalho de campo das equipes próprias. No entanto, em nenhum dos Planos há a previsão de ações específicas para garantir a disponibilidade de equipamentos e materiais classificados como críticos.
 A garantia de disponibilidade de materiais e equipamentos críticos é um componente essencial na resposta operacional em situações de contingência, a ausência de um planejamento logístico pode comprometer significativamente a capacidade de resposta em eventos de grande impacto. Dessa forma, se faz necessária a previsão nos Planos de Resposta a Eventos Extremos de ações de controle de estoque mínimo de materiais estratégicos (transformadores, cabos, conectores, postes, etc.), de mapeamento de centros de armazenagem e pontos de apoio logístico com definição de rotas prioritárias, considerando acessibilidade e tempo de deslocamento.","Incluir nos Planos de Resposta a Eventos Extremos das Distribuidoras, questões logísticas de  disponibilização de materiais, ferramental e principais materiais de reposição quando de uma crise","Em andamento","2025-12-23 00:00:00.000","2026-03-31 00:00:00.000","2026-03-31 00:00:00.000","2026-03-31 00:00:00.000",,"FREITAS, ANDERSON FERNANDO DE U457068","Deficiency","Trabalho finalizado","Networks","MARIA LOTT OLIVEIRA, CRISTIANE U465965","0%","Corrigir o risco","4. Operational","Processes and Procedures","ausência de ações voltadas a logística de materiais durante eventos extremos","DEP DESEMPENHO DA OPERAÇÃO ELEKTRO [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC OPERAÇÕES/PRESIDÊNCIA ELEKTRO/SUP TÉCNICA ELEKTRO]","ELEKTRO","AUD-1794359","2026","2","6"
"FND-15941","BR.Plano de Continuidade Operacional","Baixo","(REC01) Planos de Resposta a Eventos Extremos não contemplam Logística e Equipamentos necessários para atendimento às contingências","Como premissa para este tópico, consideramos que as empresas devem prever um processo Logístico emergencial para suporte aos processos de reestabelecimento. As empresas devem prever ações para disponibilidade de materiais críticos para o restabelecimento da energia e organização de rotas logísticas para transporte rápido desses equipamentos até os locais afetados, assegurando que os recursos necessários estejam acessíveis no momento em que forem requisitados, minimizando o tempo de interrupção dos serviços.
 Nesse contexto, verificamos que no Plano da Neoenergia Coelba está definido os kits padrão de ferramentas e EPCs para garantir o trabalho de campo das equipes próprias. No entanto, em nenhum dos Planos há a previsão de ações específicas para garantir a disponibilidade de equipamentos e materiais classificados como críticos.
 A garantia de disponibilidade de materiais e equipamentos críticos é um componente essencial na resposta operacional em situações de contingência, a ausência de um planejamento logístico pode comprometer significativamente a capacidade de resposta em eventos de grande impacto. Dessa forma, se faz necessária a previsão nos Planos de Resposta a Eventos Extremos de ações de controle de estoque mínimo de materiais estratégicos (transformadores, cabos, conectores, postes, etc.), de mapeamento de centros de armazenagem e pontos de apoio logístico com definição de rotas prioritárias, considerando acessibilidade e tempo de deslocamento.","Incluir nos Planos de Resposta a Eventos Extremos questões logísticas de  disponibilização de materiais, ferramental e principais materiais de reposição quando de uma crise","Em andamento","2025-12-22 00:00:00.000","2026-03-31 00:00:00.000","2026-03-31 00:00:00.000","2026-03-31 00:00:00.000",,"PINTO RIBEIRO FILHO, ANTONIO U497146","Deficiency","Trabalho finalizado","Networks","MARIA LOTT OLIVEIRA, CRISTIANE U465965","0%","Corrigir o risco","4. Operational","Processes and Procedures","ausência de ações voltadas a logística de materiais durante eventos extremos","DEP DESEMPENHO DA OPERAÇÃO DF [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC OPERAÇÕES/PRESIDÊNCIA DF/SUP TÉCNICA DF]","BRASILIA","AUD-1794359","2026","2","6"
