"aud_code","title","report_type","company","emission_date","objetivo","risco_processo","escopo","alcance","cronograma_inicio","cronograma_draft","cronograma_final","classification","source_s3_uri","ingestion_ts","ano","mes"
"AUD-1794409","Internal Use Resiliência em TI e TO","Relatório Final","Neoenergia S/A","2025-12-30","Avaliar a estratégia e estrutura de resiliência corporativa, os planos e testes de
recuperação de ativos e o processo de gestão de crises quando de incidentes
críticos.","Interrupção nos Serviços
Indisponibilidades
Descontinuidade do Negócio","▪
Governança de Resiliência Corporativa
▪
Plano de Recuperação de Ativos
▪
Gestão de Crises","Superintendência de Segurança e Resiliência Corporativa
Diretoria de Processos e Tecnologia
Diretoria de Sistemas
Serão avaliados os aspectos de Governança, Gerenciamento de Riscos e Controles",,"2025-12-16","2025-12-30","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório de Auditoria Interna - Resiliência em TI e TO-Redes.json","2026-02-13T18:32:10.703473+00:00","2025","12"
"AUD-1794381","Follow Up Parcelamento e Troca de Titularidade","Relatório Final","Neoenergia Pernambuco","2025-09-10","Verificar o cumprimento dos procedimentos estabelecidos para o parcelamento de 
débitos de energia, bem como ao processo de troca de titularidade.","Aumento do contas a receber/ inadimplência.","▪
Objetivo 1: Follow-up das recomendações do trabalho de Parcelamento de Débito
realizado em 2024: Analisar efetividade das recomendações sugeridas nos trabalhos,
reperformando os controles e validando evidências atuais quando necessário.
▪
Objetivo
2:
Analisar
as
execuções
e
efetividade
dos
Controles
Internos
implementados no processo de Parcelamento de Débito e troca de titularidade:
Avaliar as últimas 3 execuções dos Controles e seus respectivos desenhos.","Distribuidoras Neoenergia - Período: Base período de Junho/2024 a Abril/2025.
Serão avaliados os aspectos de Governança, Gerenciamento de Riscos e Controles.","2025-05-19","2025-08-05","2025-09-10","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório Final de Auditoria Interna - Follow Up Parcelamento e Troca de Titularidade - NPER.json","2026-02-13T18:32:09.350778+00:00","2025","09"
"AUD-1464317","Processo de Arrecadação","Relatório Final","Neoenergia Cosern","2024-12-18","Perda financeira e menor fluxo de caixa","
Avaliar os controles do processamento de arrecadação de faturamento

Avaliar o processo de conciliação e registro contábil da arrecadação","Julho a Setembro/2024","18/12/2024
Relatório
Final
16/12/2024
Draft
emitido
01/10/2024
Data início 
do trabalho",,,,"Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatório Final - Processo Arrecadação - Neo Cosern.json","2026-02-13T18:31:58.113059+00:00","2024","12"
"AUD-1794379","Gestão e Recuperação de Perdas","Relatório Final","Neoenergia Coelba","2025-12-22","Não atendimento dos riscos/metas regulatórias.","
Avaliar a sistemática de cálculo de perdas para as distribuidoras do Grupo, quanto à
automação, variáveis consideradas e expurgos.

Recalcular o Índice de Perdas e consistência das suas principais variáveis.","Neoenergia Coelba, Neoenergia Pernambuco, Neoenergia Cosern, Neoenergia Elektro,
Neoenergia Brasília.","22/12/2025
Relatório
Final
28/11/2025
Draft
emitido
20/07/2025
Data início 
do trabalho",,,,"Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatório - Gestão e recuperação de perdas - NEO COELBA.json","2026-02-13T18:31:54.837469+00:00","2025","12"
"AUD-1794317","AUDITORIA INTERNA TESTE SEMESTRAL SCIIF 1º semestre 2025","Relatório Final",,"2025-07-18","Unidades organizacionais: Diretoria Executiva de Controle Patrimonial e Planejamento.
Período auditado: Janeiro a Junho de 2025
Revisar a efetiva execução e documentação dos controles classificados com risco residual alto e controles
considerados críticos pela Auditoria Interna na ferramenta de controles internos;
Conclusão dos demais controles associados ao processo de elaboração da Informação Econômico
Financeira em 30 de Junho de 2025.
Data de extração da matriz: 16/06/2025.",,,,,,,,"s3://auditneo/raw/rel/head/year=2025/Relatório Final - SCIIF Semestral 1S2025.json","2026-02-13T18:32:06.922673+00:00","2025","07"
"AUD-1794341","Metas ESG Draft de Relatório Neoenergia","Relatório Final","Neoenergia","2025-02-20","Avaliar a estruturação do processo de registro e monitoramento dos objetivos/metas 
ESG do grupo.","Fragilidade reputacional pelo não atingimento dos objetivos reportados ao mercado.","▪
Objetivo 1: Validar os resultados e metodologias dos cálculos dos objetivos ESG
corporativos reportados ao mercado.","2024","2025-01-08","2025-02-11","2025-02-20","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório Final de Auditoria Interna - Metas ESG.json","2026-02-13T18:32:09.771213+00:00","2025","02"
"AUD-1794367","Gestão de Operação e Manutenção","Relatório Final","Transmissão","2025-12-05","Avaliar a estrutura e controles implementados na gestão das linhas de transmissão em 
operação, considerando os requisitos regulatórios, disponibilidade do sistema e 
ferramentas utilizadas.","Penalidades regulatórias e impacto financeiro.","•
Avaliar a eficácia dos controles para mitigar os impactos financeiros de descontos na
RAP
por
indisponibilidade,
restrições
operativas
de
equipamentos,
atrasos
e
cancelamentos de intervenções.
•
Avaliar a efetividade do processo de apuração, contestação e reconciliação da
Parcela Variável.","Janeiro a Outubro/2025.
Serão avaliadas as FTs que tiveram impacto em Parcelas Variáveis no período.","2025-10-27","2025-12-01","2025-12-05","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório Final Gestão de Operação e Manutenção.json","2026-02-13T18:32:07.749584+00:00","2025","12"
"AUD-1794381","Follow Up Parcelamento e Troca de Titularidade","Relatório Final","Neoenergia Elektro","2025-09-10","Verificar o cumprimento dos procedimentos estabelecidos para o parcelamento de 
débitos de energia, bem como ao processo de troca de titularidade.","Aumento do contas a receber/ inadimplência.","▪
Objetivo 1: Follow-up das recomendações do trabalho de Parcelamento de Débito
realizado em 2024: Analisar efetividade das recomendações sugeridas nos trabalhos,
reperformando os controles e validando evidências atuais quando necessário.
▪
Objetivo
2:
Analisar
as
execuções
e
efetividade
dos
Controles
Internos
implementados no processo de Parcelamento de Débito e troca de titularidade:
Avaliar as últimas 3 execuções dos Controles e seus respectivos desenhos.","Distribuidoras Neoenergia - Período: Base período de Junho/2024 a Abril/2025.
Serão avaliados os aspectos de Governança, Gerenciamento de Riscos e Controles.","2025-05-19","2025-08-05","2025-09-10","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório Final de Auditoria Interna - Follow Up Parcelamento e Troca de Titularidade - NEKT.json","2026-02-13T18:32:09.172204+00:00","2025","09"
"AUD-1794349","Conformidade Ambiental Distribuição","Relatório Final","Neoenergia Cosern","2025-06-16","Verificar o cumprimento das legislações ambientais e condicionantes.","Não obtenção, suspensão ou cancelamento das licenças ambientais.","▪
Avaliar o rito do processo de licenciamento, autorização e anuência ambiental para
construções
e
alterações
de
redes
e
subestações
de
distribuição,
linhas
e
subestações de subtransmissão
▪
Avaliar os mecanismos de controles adotados para cumprimento das condicionantes
ambientais","Projetos licenciados em 2024 e posição de projetos remanescente em dezembro de
2024.","2025-02-17","2025-06-02","2025-06-16","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatorio Final de Auditoria - CAD - NCSR.json","2026-02-13T18:32:03.701081+00:00","2025","06"
"AUD-1794349","Conformidade Ambiental Distribuição","Relatório Final","Neoenergia Pernambuco","2025-06-16","Verificar o cumprimento das legislações ambientais e condicionantes.","Não obtenção, suspensão ou cancelamento das licenças ambientais.","▪
Avaliar o rito do processo de licenciamento, autorização e anuência ambiental para
construções
e
alterações
de
redes
e
subestações
de
distribuição,
linhas
e
subestações de subtransmissão
▪
Avaliar os mecanismos de controles adotados para cumprimento das condicionantes
ambientais","Projetos licenciados em 2024 e posição de projetos remanescente em dezembro de
2024.","2025-02-17","2025-06-02","2025-06-16","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatorio Final de Auditoria - CAD - NPER.json","2026-02-13T18:32:04.069715+00:00","2025","06"
